CP013741.1	AL450380.1	77.138	3508	695	56	4360945	4364361	3258285	3261776	0.0	1936
CP013741.1	AL450380.1	87.560	1672	205	3	529654	531323	405419	407089	0.0	1932
CP013741.1	AL450380.1	78.636	2991	572	48	4082283	4085244	2721992	2724944	0.0	1921
CP013741.1	AL450380.1	80.083	2651	472	43	3355885	3358505	2090606	2093230	0.0	1919
CP013741.1	AL450380.1	78.235	3138	569	62	3603641	3606708	877757	874664	0.0	1906
CP013741.1	AL450380.1	77.098	3432	692	66	1062770	1066151	217158	220545	0.0	1897
CP013741.1	AL450380.1	79.406	2763	512	47	1262044	1264765	1127692	1130438	0.0	1897
CP013741.1	AL450380.1	81.619	2323	398	27	72304	74611	3210654	3212962	0.0	1897
CP013741.1	AL450380.1	82.100	2257	364	27	2716448	2718690	1779773	1782003	0.0	1893
CP013741.1	AL450380.1	79.196	2836	503	57	1354181	1356993	1228779	1231550	0.0	1888
CP013741.1	AL450380.1	77.810	3141	629	51	2604994	2608094	763197	760085	0.0	1877
CP013741.1	AL450380.1	78.213	2933	607	25	2746405	2749327	1485773	1482863	0.0	1847
CP013741.1	AL450380.1	74.584	4446	1017	94	202637	207019	3096293	3100688	0.0	1845
CP013741.1	AL450380.1	79.859	2552	489	21	2695387	2697925	1761570	1764109	0.0	1842
CP013741.1	AL450380.1	85.066	1808	268	2	421050	422856	2973469	2971663	0.0	1842
CP013741.1	AL450380.1	81.034	2378	392	38	2968669	2971015	1185830	1183481	0.0	1838
CP013741.1	AL450380.1	81.676	2243	377	21	1682287	1684515	2180132	2177910	0.0	1834
CP013741.1	AL450380.1	80.634	2396	441	18	1127597	1129976	312281	314669	0.0	1832
CP013741.1	AL450380.1	77.914	3020	605	49	245240	248224	3129374	3132366	0.0	1825
CP013741.1	AL450380.1	82.434	2095	358	9	1098950	1101039	240531	242620	0.0	1821
CP013741.1	AL450380.1	80.997	2326	408	25	2143768	2146082	2372105	2369803	0.0	1816
CP013741.1	AL450380.1	77.814	3047	597	55	2894397	2897413	551271	554268	0.0	1808
CP013741.1	AL450380.1	80.186	2468	439	33	3606808	3609236	874462	872006	0.0	1803
CP013741.1	AL450380.1	78.918	2699	524	28	1457998	1460688	1328493	1331154	0.0	1790
CP013741.1	AL450380.1	79.123	2644	507	33	3586065	3588670	902780	900144	0.0	1783
CP013741.1	AL450380.1	79.144	2618	513	20	2815142	2817737	633978	631372	0.0	1779
CP013741.1	AL450380.1	78.884	2742	496	59	2388010	2390708	1081698	1078997	0.0	1779
CP013741.1	AL450380.1	83.376	1931	305	9	292161	294088	3057062	3055145	0.0	1773
CP013741.1	AL450380.1	77.837	2996	571	57	4125717	4128674	2756737	2759677	0.0	1768
CP013741.1	AL450380.1	82.632	2044	295	32	732570	734566	2295078	2293048	0.0	1753
CP013741.1	AL450380.1	76.873	3243	659	65	984847	988061	2538531	2535352	0.0	1749
CP013741.1	AL450380.1	82.081	2076	336	18	3820087	3822155	475173	473127	0.0	1740
CP013741.1	AL450380.1	81.373	2142	377	11	3596063	3598202	890917	888796	0.0	1725
CP013741.1	AL450380.1	83.088	1904	296	13	3834913	3836801	464849	462957	0.0	1709
CP013741.1	AL450380.1	80.298	2279	419	24	3330315	3332573	2059832	2062100	0.0	1694
CP013741.1	AL450380.1	77.825	2823	562	48	2674302	2677078	1745795	1748599	0.0	1687
CP013741.1	AL450380.1	81.584	2058	361	16	903682	905730	2622706	2620658	0.0	1685
CP013741.1	AL450380.1	79.674	2396	437	27	3581907	3584261	907048	904662	0.0	1681
CP013741.1	AL450380.1	80.833	2160	399	7	4089717	4091861	2729177	2731336	0.0	1681
CP013741.1	AL450380.1	78.046	2774	524	64	1658069	1660791	2201451	2198712	0.0	1670
CP013741.1	AL450380.1	77.709	2889	536	76	3100027	3102859	1886295	1889131	0.0	1668
CP013741.1	AL450380.1	84.002	1744	271	7	3308693	3310432	2044356	2046095	0.0	1668
CP013741.1	AL450380.1	80.070	2288	412	30	1226034	1228315	2338938	2336689	0.0	1659
CP013741.1	AL450380.1	83.877	1749	266	12	2740593	2742337	1490850	1489114	0.0	1653
CP013741.1	AL450380.1	77.221	2994	577	70	1664487	1667402	2194819	2191853	0.0	1653
