Orthogroup	Mmicro	Mlepra
OG0000350	AMC57445.1	CAC29523.1
OG0000351	AMC57446.1	CAC29524.1
OG0000352	AMC57447.1	CAC29525.1
OG0000353	AMC57448.1	CAC29526.1
OG0000354	AMC57449.1	CAC29527.1
OG0000355	AMC57450.1	CAC29528.1
OG0000356	AMC57451.1	CAC29529.1
OG0000357	AMC57452.1	CAC29530.1
OG0000359	AMC57474.1	CAC29536.1
OG0000360	AMC57476.1	CAC29539.1
OG0000361	AMC57477.1	CAC29540.1
OG0000362	AMC57478.1	CAC32228.1
OG0000364	AMC57483.1	CAC32223.1
OG0000365	AMC57485.1	CAC32221.1
OG0000366	AMC57486.1	CAC32220.1
OG0000367	AMC57487.1	CAC32219.1
OG0000368	AMC57489.1	CAC32217.1
OG0000369	AMC57490.1	CAC32216.1
OG0000370	AMC57491.1	CAC32215.1
OG0000371	AMC57492.1	CAC32214.1
OG0000372	AMC57494.1	CAC32212.1
OG0000373	AMC57505.1	CAC32204.1
OG0000375	AMC57546.1	CAC30953.1
OG0000377	AMC57552.1	CAC32203.1
OG0000378	AMC57556.1	CAC32202.1
OG0000380	AMC57562.1	CAC32196.1
OG0000381	AMC57565.1	CAC32193.1
OG0000382	AMC57572.1	CAC32191.1
OG0000384	AMC57585.1	CAC32179.1
OG0000387	AMC57594.1	CAC32172.1
OG0000388	AMC57595.1	CAC32171.1
OG0000390	AMC57604.1	CAC32168.1
OG0000391	AMC57605.1	CAC32167.1
OG0000392	AMC57606.1	CAC32166.1
OG0000393	AMC57611.1	CAC32163.1
OG0000394	AMC57626.1	CAC32127.1
OG0000395	AMC57627.1	CAC32128.1
OG0000396	AMC57628.1	CAC32129.1
OG0000397	AMC57629.1	CAC32130.1
OG0000398	AMC57631.1	CAC32132.1
OG0000399	AMC57634.1	CAC32135.1
OG0000400	AMC57636.1	CAC32136.1
OG0000401	AMC57637.1	CAC32137.1
OG0000402	AMC57643.1	CAC32140.1
OG0000403	AMC57659.1	CAC32149.1
OG0000405	AMC57661.1	CAC32150.1
OG0000406	AMC57663.1	CAC32152.1
OG0000407	AMC57664.1	CAC32153.1
OG0000408	AMC57665.1	CAC32154.1
OG0000409	AMC57668.1	CAC32156.1
OG0000410	AMC57673.1	CAC32159.1
OG0000411	AMC57681.1	CAC32116.1
OG0000412	AMC57682.1	CAC32115.1
OG0000413	AMC57683.1	CAC32114.1
OG0000414	AMC57684.1	CAC32113.1
OG0000415	AMC57685.1	CAC32112.1
OG0000416	AMC57692.1	CAC32105.1
OG0000417	AMC57694.1	CAC32102.1
OG0000418	AMC57696.1	CAC32100.1
OG0000419	AMC57697.1	CAC32099.1
OG0000420	AMC57700.1	CAC32097.1
OG0000421	AMC57701.1	CAC32096.1
OG0000422	AMC57702.1	CAC32095.1
