Orthogroup	Mbovis	Mavium
OG0000041	ALV10553.1	AAS03444.1, AAS04335.1, AAS04517.1, AAS06144.1, AAS03758.1, AAS03937.1, AAS06059.1, AAS03780.1, AAS03767.1, AAS04693.1
OG0000042	ALV12825.1, ALV12802.1	AAS06726.1
OG0000042	ALV09639.1	AAS03370.1
OG0000044	ALV12687.1, ALV12952.1	AAS04550.1, AAS05628.1
OG0000044	ALV10366.1	AAS04549.1
OG0000045	ALV10482.1, ALV10484.1, ALV10483.1	AAS04757.1
OG0000046	ALV10857.1	AAS06045.1, AAS04337.1
OG0000046	ALV12602.1	AAS03793.1, AAS05978.1, AAS04621.1, AAS02650.1
OG0000047	ALV10902.1	AAS03840.1, AAS03837.1, AAS03471.1, AAS05102.1, AAS05706.1, AAS05103.1, AAS05968.1, AAS02904.1, AAS03834.1
OG0000048	ALV09820.1	AAS03081.1, AAS04510.1, AAS06638.1
OG0000048	ALV12790.1	AAS06158.1
OG0000049	ALV09638.1	AAS05813.1, AAS03745.1, AAS06424.1
OG0000049	ALV10945.1	AAS03878.1
OG0000050	ALV10663.1, ALV10665.1	AAS06312.1, AAS05713.1, AAS03991.1, AAS05188.1
OG0000051	ALV10806.1	AAS05197.1, AAS05769.1, AAS04201.1, AAS03936.1, AAS05882.1, AAS04812.1, AAS06010.1, AAS03749.1, AAS03782.1
OG0000053	ALV11287.1	AAS04315.1
OG0000053	ALV11288.1	AAS06035.1, AAS04316.1
OG0000054	ALV12438.1	AAS02854.1, AAS03695.1, AAS05877.1, AAS06856.1, AAS02375.1, AAS06099.1, AAS02605.1, AAS02604.1
OG0000055	ALV13204.1	AAS03003.1, AAS04377.1, AAS03337.1, AAS04724.1, AAS03041.1, AAS04963.1, AAS05887.1, AAS02827.1
OG0000056	ALV12469.1	AAS02820.1, AAS04680.1, AAS03776.1, AAS03064.1, AAS04545.1, AAS03032.1, AAS04670.1, AAS02998.1
OG0000057	ALV09374.1	AAS04187.1, AAS04188.1, AAS03559.1, AAS04186.1, AAS03737.1, AAS04489.1
OG0000058	ALV12352.1	AAS06815.1
OG0000058	ALV09685.1	AAS06486.1
OG0000060	ALV10134.1	AAS06722.1, AAS05938.1
OG0000060	ALV10132.1	AAS03189.1
OG0000061	ALV11075.1	AAS04356.1, AAS05043.1
OG0000061	ALV10362.1	AAS04924.1
OG0000064	ALV10770.1	AAS03686.1
OG0000064	ALV10774.1	AAS04959.1, AAS03689.1
OG0000065	ALV13039.1	AAS05037.1, AAS06596.1, AAS04069.1, AAS03488.1, AAS03272.1, AAS05808.1
OG0000066	ALV12463.1	AAS02826.1, AAS04975.1, AAS03042.1, AAS02469.1, AAS02391.1, AAS04686.1, AAS03286.1
OG0000067	ALV13213.1	AAS02345.1, AAS03467.1, AAS04591.1, AAS04467.1, AAS02421.1, AAS06309.1, AAS03166.1
OG0000069	ALV09430.1	AAS06153.1
OG0000069	ALV09816.1	AAS06633.1
OG0000070	ALV12834.1	AAS06636.1
OG0000070	ALV09433.1	AAS06156.1
